Date,CCI,"Unemployment rate (aged 16 and over, seasonally adjusted): %",10-year-gilt-yield,CPIH MONTHLY RATE 00: ALL ITEMS 2015=100,Gross Value Added - Monthly (Index 1dp) :CVM SA,"Monthly average Spot exchange rate, Sterling into US$              [a]             XUMAGBD","Monthly average Spot exchange rates, Sterling into Euro              [a]             XUMASER"
1997-01-01,102.2504,7.5,7.5552,-0.3,62.0,0.6031,0.7376
1997-02-01,102.5327,7.3,7.1962,0.2,62.5,0.6156,0.7192
1997-03-01,102.6905,7.2,7.4544,0.2,62.6,0.6226,0.7172
1997-04-01,102.79,7.2,7.638,0.4,63.3,0.6137,0.7022
1997-05-01,102.9294,7.2,7.1681,0.4,62.7,0.6122,0.7034
1997-06-01,102.9378,7.3,7.1418,0.2,63.0,0.6081,0.6898
1997-07-01,102.8648,7.1,7.0577,-0.2,63.4,0.5988,0.656
1997-08-01,102.8713,6.8,7.0893,0.4,63.4,0.6238,0.6649
1997-09-01,102.9758,6.7,6.8216,0.3,63.6,0.6244,0.6854
1997-10-01,103.0225,6.6,6.5109,0.1,64.0,0.6125,0.6839
1997-11-01,102.8786,6.5,6.624,0.0,64.2,0.5921,0.6705
1997-12-01,102.7396,6.4,6.3739,0.2,64.7,0.6026,0.6644
1998-01-01,102.5693,6.4,6.0978,-0.5,64.6,0.6115,0.6594
1998-02-01,102.5653,6.4,6.0461,0.3,65.0,0.6095,0.6581
1998-03-01,102.6512,6.3,5.992000000000001,0.3,64.9,0.6017,0.645
1998-04-01,102.7064,6.3,5.8249,0.6,65.5,0.5976,0.6457
1998-05-01,102.5557,6.3,5.8648,0.5,65.2,0.6111,0.6742
1998-06-01,102.1154,6.3,5.7743,-0.1,65.3,0.6059,0.6619
1998-07-01,101.5688,6.3,5.8319,-0.4,65.5,0.6084,0.6627
1998-08-01,101.1782,6.2,5.5706,0.3,65.6,0.6128,0.6707
1998-09-01,101.0774,6.2,5.151,0.4,65.6,0.5945,0.6842
1998-10-01,101.109,6.2,5.0114,0.0,65.9,0.5899,0.7042
1998-11-01,101.3278,6.1,4.9292,0.1,66.1,0.6017,0.6998
1998-12-01,101.5163,6.2,4.5175,0.3,66.3,0.5986,0.7016
1999-01-01,101.771,6.2,4.2868,-0.4,66.3,0.6057,0.7025
1999-02-01,102.1119,6.2,4.4319,0.2,66.6,0.6145,0.6881
1999-03-01,102.4042,6.2,4.6554,0.5,66.6,0.6166,0.6711
1999-04-01,102.5205,6.1,4.592,0.5,66.4,0.6209,0.6645
1999-05-01,102.5255,6.0,4.9068,0.2,67.0,0.6191,0.6585
1999-06-01,102.5352,6.0,5.1716,-0.1,67.1,0.627,0.6505
1999-07-01,102.5606,5.9,5.3721,-0.4,67.6,0.6351,0.6578
1999-08-01,102.6238,5.9,5.4312,0.3,67.9,0.6222,0.6603
1999-09-01,102.6323,5.8,5.6909,0.3,68.3,0.6157,0.647
1999-10-01,102.7428,5.8,5.8801,-0.1,68.8,0.6035,0.6456
1999-11-01,102.8752,5.8,5.3145,0.2,69.1,0.6168,0.6367
1999-12-01,103.1049,5.9,5.388999999999999,0.3,69.0,0.6199,0.6269
2000-01-01,103.1031,5.8,5.8227,-0.7,69.9,0.6097,0.6174
2000-02-01,102.8371,5.8,5.6347,0.3,69.7,0.6251,0.6148
2000-03-01,102.4968,5.7,5.3707,0.2,69.5,0.6328,0.6107
2000-04-01,102.283,5.6,5.3213,0.5,69.9,0.6314,0.5978
2000-05-01,102.2199,5.5,5.4033,0.3,70.4,0.6635,0.6008
2000-06-01,102.1674,5.3,5.2097,0.1,70.6,0.6628,0.6297
2000-07-01,102.1362,5.3,5.2388,-0.4,70.4,0.6628,0.623
2000-08-01,102.1135,5.3,5.3312,0.0,71.1,0.6708,0.6069
2000-09-01,102.0192,5.4,5.3873,0.6,70.9,0.6968,0.6072
2000-10-01,102.256,5.3,5.2179,0.0,71.0,0.6892,0.5886
2000-11-01,102.4971,5.2,5.0983,0.3,71.3,0.7015,0.6001
2000-12-01,102.7309,5.2,4.9118,0.0,71.6,0.6839,0.6135
2001-01-01,102.8193,5.2,4.8471,-0.7,71.8,0.6775,0.6348
2001-02-01,102.8417,5.1,4.8248,0.3,71.8,0.6883,0.6341
2001-03-01,102.8559,5.0,4.703,0.3,72.2,0.6921,0.629
2001-04-01,102.8006,4.9,4.9468,0.6,72.1,0.6969,0.6218
2001-05-01,102.8074,5.0,5.1153,0.6,72.1,0.7015,0.6134
2001-06-01,102.8793,5.0,5.1951,0.2,72.4,0.7139,0.6086
2001-07-01,102.8086,5.1,5.2037,-0.6,72.4,0.7077,0.6086
2001-08-01,102.5072,5.1,4.9854,0.4,72.6,0.6962,0.6269
2001-09-01,102.2281,5.1,4.9876,0.3,72.5,0.6833,0.6227
2001-10-01,101.9867,5.1,4.8253,-0.1,72.7,0.6889,0.6241
2001-11-01,102.142,5.2,4.6271,-0.1,72.7,0.6966,0.6186
2001-12-01,102.4813,5.2,4.8928,0.2,72.6,0.6941,0.6192
2002-01-01,102.6934,5.1,4.9171,-0.2,72.8,0.6982,0.6165
2002-02-01,102.8086,5.2,4.9251,0.2,72.8,0.7027,0.6117
2002-03-01,102.8862,5.2,5.2202,0.3,72.9,0.703,0.6164
2002-04-01,102.9244,5.2,5.2331,0.6,73.3,0.6928,0.6142
2002-05-01,102.8328,5.2,5.2689,0.2,73.9,0.6853,0.6284
2002-06-01,102.7462,5.2,5.099,0.0,72.1,0.673,0.6446
2002-07-01,102.7895,5.2,5.0027,-0.3,73.4,0.6433,0.6384
2002-08-01,102.9382,5.3,4.746,0.2,73.7,0.6503,0.636
2002-09-01,103.1005,5.2,4.5006,0.2,73.9,0.6427,0.6305
2002-10-01,102.9938,5.2,4.6160000000000005,0.2,74.1,0.6421,0.6302
2002-11-01,102.6612,5.1,4.6378,0.0,74.4,0.6361,0.6372
2002-12-01,102.0501,5.0,4.5644,0.3,74.3,0.6304,0.6425
2003-01-01,101.3956,5.1,4.3899,-0.5,74.6,0.6185,0.657
2003-02-01,101.0015,5.2,4.2131,0.3,74.9,0.6219,0.6702
2003-03-01,100.9898,5.1,4.3243,0.3,74.7,0.6315,0.6827
2003-04-01,101.1925,5.0,4.4663,0.5,75.4,0.6351,0.6894
2003-05-01,101.2382,4.9,4.2197,0.0,75.2,0.6162,0.7128
2003-06-01,101.2798,5.1,4.1127,-0.2,75.7,0.6023,0.7027
2003-07-01,101.2954,5.1,4.4078,-0.1,75.9,0.6158,0.7005
2003-08-01,101.2977,5.0,4.604,0.3,76.0,0.627,0.7001
2003-09-01,101.3435,5.0,4.7132,0.2,76.4,0.6202,0.6975
2003-10-01,101.2803,4.9,4.9071,0.1,76.8,0.5957,0.6977
2003-11-01,101.2283,4.9,5.065,0.0,76.6,0.5917,0.6932
2003-12-01,101.2416,4.8,4.896,0.3,76.9,0.5713,0.702
2004-01-01,101.3095,4.8,4.7875,-0.3,76.9,0.5485,0.6922
2004-02-01,101.3686,4.8,4.8056,0.2,76.9,0.5356,0.6769
2004-03-01,101.4109,4.8,4.7088,0.1,77.2,0.5475,0.6716
2004-04-01,101.2739,4.8,4.957,0.5,77.1,0.5555,0.6657
2004-05-01,101.0505,4.8,5.1118,0.3,77.4,0.5595,0.6715
2004-06-01,100.8995,4.8,5.2,0.0,77.6,0.5472,0.6645
2004-07-01,100.8666,4.7,5.1083,-0.2,77.6,0.5427,0.6657
2004-08-01,100.8595,4.7,5.0071,0.2,77.4,0.549,0.6697
2004-09-01,100.9068,4.7,4.9109,0.1,77.7,0.558,0.6814
2004-10-01,101.0902,4.7,4.7683,0.3,78.0,0.5536,0.6918
2004-11-01,101.2958,4.7,4.6903,0.2,78.1,0.5376,0.6988
2004-12-01,101.4076,4.7,4.5316,0.5,78.1,0.5188,0.6945
2005-01-01,101.5298,4.8,4.5419,-0.4,78.8,0.5329,0.6978
2005-02-01,101.6733,4.7,4.5884,0.2,78.8,0.53,0.6897
2005-03-01,101.7344,4.7,4.796,0.4,78.5,0.5242,0.6925
2005-04-01,101.6276,4.8,4.6218,0.4,79.5,0.5275,0.6825
2005-05-01,101.4508,4.8,4.4173,0.3,79.2,0.5396,0.6844
2005-06-01,101.341,4.7,4.2847,0.1,79.7,0.5501,0.6688
2005-07-01,101.3491,4.7,4.3011,0.1,80.1,0.5712,0.6875
2005-08-01,101.3238,4.7,4.3249,0.3,80.1,0.5573,0.6853
2005-09-01,101.2046,4.9,4.2109,0.2,80.4,0.5532,0.6775
2005-10-01,101.0225,5.1,4.3482,0.2,80.2,0.5669,0.6815
2005-11-01,100.8934,5.1,4.3129,0.0,81.0,0.5767,0.6794
2005-12-01,100.8731,5.1,4.2186,0.3,81.7,0.5727,0.6792
2006-01-01,100.9863,5.2,4.0752,-0.3,81.4,0.5657,0.6858
2006-02-01,101.0454,5.2,4.1543,0.3,81.3,0.5724,0.6832
2006-03-01,100.99,5.3,4.3177,0.2,81.7,0.5736,0.6897
2006-04-01,101.029,5.4,4.5177,0.6,81.5,0.5655,0.6944
2006-05-01,100.9917,5.5,4.6488,0.5,81.8,0.5348,0.6832
2006-06-01,100.9427,5.5,4.6645,0.3,82.0,0.5427,0.6868
2006-07-01,100.8674,5.5,4.656000000000001,0.0,81.6,0.5421,0.6878
2006-08-01,100.8713,5.5,4.6535,0.4,81.9,0.5279,0.6764
